"lang"
{
	"Language"	"Schinese"
		"DOTA_Tooltip_ability_item_veil_of_discord_bg"		"纷争面纱"
		"DOTA_Tooltip_ability_item_veil_of_discord_bg_bonus_spell_resist"		"%+  魔法抗性"
		"DOTA_Tooltip_ability_item_veil_of_discord_bg_bonus_armor"				"+  护甲"
		"DOTA_Tooltip_ability_item_veil_of_discord_bg_Lore"						""

		//极限法球
		"DOTA_Tooltip_ability_item_ultimate_orb_Lore"		"蕴含生命本质的神秘法球。"
		"DOTA_Tooltip_ability_item_ultimate_orb_bonus_strength"		"+  力量"
		"DOTA_Tooltip_ability_item_ultimate_orb_bonus_agility"		"+  敏捷"
		"DOTA_Tooltip_ability_item_ultimate_orb_spell_amp"			"%+  技能增强"

		//bkb 黑皇杖
		"DOTA_Tooltip_ability_item_black_king_bar_Description"			"<h1>被动：卡牌</h1>每<font color='#7e8c9d'> %cd_getcard% </font>回合获得一张物品牌。"
		"DOTA_Tooltip_Modifier_item_black_king_bar_buff"				"天神下凡"
        "DOTA_Tooltip_Modifier_item_black_king_bar_buff_Description"	"技能免疫"

		//强袭胸甲
		"DOTA_Tooltip_ability_item_assault_Description"			"<h1>被动：强袭之劲</h1>攻城时，被攻方每有一个单位：<br>削弱被攻单位<font color='#7e8c9d'> %debuff_negative_armor% </font>点护甲。<br>自身提升<font color='#7e8c9d'> %buff_bonus_armor% </font>点护甲，<font color='#7e8c9d'> %buff_bonus_attack_speed% </font>点攻速。\n<h1>被动：强袭之御</h1>被攻城时，攻城方每有一个单位：<br>削弱攻城单位<font color='#7e8c9d'> %debuff_negative_armor% </font>点护甲。<br>自身提升<font color='#7e8c9d'> %buff_bonus_armor% </font>点护甲，<font color='#7e8c9d'> %buff_bonus_attack_speed% </font>点攻速。"
		"DOTA_Tooltip_Modifier_item_assault_buff"				"强袭之劲"
        "DOTA_Tooltip_Modifier_item_assault_buff_Description"	"每层提升2点护甲，10点攻击速度。"
		"DOTA_Tooltip_Modifier_item_assault_debuff"				"强袭之侵"
        "DOTA_Tooltip_Modifier_item_assault_debuff_Description"	"每层削弱1点护甲。"

		//慧光
		"DOTA_Tooltip_ability_item_kaya_Description"			"<h1>被动：法力精纯</h1>卡牌和英雄技能的魔法消耗减少<font color='#7e8c9d'> 1 </font>点。"
		"DOTA_Tooltip_ability_item_kaya_bonus_mana_regen_bz"	"%+  魔法恢复（兵卒装备） "
		"DOTA_Tooltip_ability_item_kaya_bonus_mana_regen_hero"	"+  魔法恢复（每<font color='#FFFFFF'> 1 </font>回合）（英雄装备）"
		"DOTA_Tooltip_ability_item_kaya_Note0"					"被动效果不叠加"

		//玲珑心
		"DOTA_Tooltip_ability_item_octarine_core_bg"					"玲珑心"
		"DOTA_Tooltip_ability_item_octarine_core_bg_Description"		"<h1>被动：冷却减少</h1>玩家物品和英雄技能的冷却时间减少<font color='#7e8c9d'> %cd_sub% </font>回合。"
		"DOTA_Tooltip_ability_item_octarine_core_bg_bonus_health"			"+ 生命值"
		"DOTA_Tooltip_ability_item_octarine_core_bg_bonus_mana"			"+ 魔法上限"
		"DOTA_Tooltip_ability_item_octarine_core_bg_spell_amp"			"%+ 技能增强"
		"DOTA_Tooltip_ability_item_octarine_core_bg_Note0"					"被动效果不叠加"

		"DOTA_Tooltip_ability_item_octarine_core_Description"		"忽略其他属性描述:玲珑心装备属性为+425生命值,+1魔法上限,+25%技能增强,被动减少技能CD一回合"


		//神秘法杖
		"DOTA_Tooltip_ability_item_mystic_staff_spell_amp"				"%+ 技能增强"

		//吸血面具
		"DOTA_Tooltip_ability_item_lifesteal_Description"				""
		"DOTA_Tooltip_ability_item_lifesteal_lifesteal_percent"			"%+ 攻击吸血"
		"DOTA_Tooltip_ability_item_lifesteal_lifesteal_ablt_percent"	"%+ 技能吸血"

		//撒旦之邪力
		"DOTA_Tooltip_ability_item_satanic_Description"				"<h1>被动：不洁狂热</h1>血量低于<font color='#7e8c9d'>%unholy_target%%%</font>时，吸血效果提升至<font color='#7e8c9d'>%unholy_lifesteal_total_tooltip%%%</font>，持续<font color='#7e8c9d'>%unholy_duration%</font>秒。"
		"DOTA_Tooltip_ability_item_satanic_lifesteal_percent"			"%+ 攻击吸血"
		"DOTA_Tooltip_ability_item_satanic_lifesteal_ablt_percent"	"%+ 技能吸血"
		"DOTA_Tooltip_Modifier_xixue_satanic"						"不洁狂热"
		"DOTA_Tooltip_Modifier_xixue_satanic_Description"			"攻击和技能吸血提升至%dMODIFIER_PROPERTY_BONUS_DAY_VISION%%%"

		//圣剑
		"DOTA_Tooltip_ability_item_rapier_Description"				"<h1>被动：永恒</h1><font color='#ff0000'>无法出售</font>"
		"DOTA_Tooltip_ability_item_rapier_Note0"					""

		//错误提示////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
		"Error_ItemMax"		"物品栏已满"
		"Error_ItemSide"		"限边路商店购买"
		"Error_ItemSecret"		"限神秘商店购买"
		"Error_ItemSideAndSecret"		"限边路或神秘商店购买"
		"Error_ItemNoCount"		"购买次数用尽"
		"Error_NeedGold"	"金币不足"
		"Error_CantGCLD_Slef"	"自身领地，无法攻城"
		"Error_CantGCLD_Battling"	"攻城中......"
		"Error_CantGCLD_Stunned"	"目标眩晕无法攻城"
		"Error_CantGCLD_InPrison"	"目标被地狱封印无法攻城"
		"Error_Card_TP"				"仅传送阵"
		"Error_NoChichen"			"鸡儿不足"

		"LuaAbilityError_Move"		"移动中......"
		"LuaAbilityError_Wait"		"请稍等......"
		"LuaAbilityError_Prison"	"地狱中等待重生......"
		"LuaAbilityError_Battle"	"战斗中......"
		"LuaAbilityError_BZ"		"兵卒技仅自动释放"
		"LuaAbilityError_SelfRound"		"仅自身回合"
		"LuaAbilityError_Nil"		"暂时无有效目标"
		"LuaAbilityError_NeedMana_1"		"至少需要1点魔法"
		"LuaAbilityError_NeedMana_Hero"		"英雄魔法不足"
		"LuaAbilityError_TargetSelfHeroBZ"	"仅己英雄或兵卒"
		"LuaAbilityError_TargetEnemyHeroBZ"	"仅敌方英雄或兵卒"
		"LuaAbilityError_TargetSelfBZ"		"仅己方兵卒"
		"LuaAbilityError_TargetEnemyHero"	"仅敌方英雄"
		"LuaAbilityError_TargetPlayerUnit"	"仅玩家单位"
		"LuaAbilityError_HeroCant"			"无法对英雄释放"
		"LuaAbilityError_BZCant"			"无法对兵卒释放"
		"LuaAbilityError_IllusionsCant"		"无法对幻象释放"
		"LuaAbilityError_SelfCant"			"无法对自身释放"
		"LuaAbilityError_MonsterCant"		"无法对野怪释放"
		"LuaAbilityError_RuneCant"			"无法对神符释放"
		"LuaAbilityError_AbilityImmune"		"目标技能免疫"
		"LuaAbilityError_MonsterPath"		"仅野怪路径"
		"LuaAbilityError_TargetPath"		"仅路径目标"
		"LuaAbilityError_TargetRune"		"仅神符目标"
		"LuaAbilityError_Range"				"不在范围内"
		"LuaAbilityError_ChenMo"			"被沉默"
		"LuaAbilityError_Die"				"死亡"
		"LuaAbilityError_DeathClearing"		"清算中......"
		"LuaAbilityError_Supply"			"轮抽中......"
		"LuaAbilityError_NoBomb"			"没有地雷无需标识"

		"CardError_NoLastCard"				"目标从未使用过卡牌"

		//单位技能////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
		"DOTA_Tooltip_ability_yjxr_12"					"养精蓄锐"
		"DOTA_Tooltip_ability_yjxr_12_Description"		"提升兵卒★级，突破等级瓶颈，同时恢复全部血量。"
		"DOTA_Tooltip_ability_yjxr_12_Lore"        		"来来，吃头牛。"
		"DOTA_Tooltip_ability_yjxr_12_goldcost"			"<font color='#FFFF00'>消耗金币 :</font>"
		"DOTA_Tooltip_ability_yjxr_12_level_max"		"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_yjxr_13"					"养精蓄锐"
		"DOTA_Tooltip_ability_yjxr_13_Description"		"提升兵卒★级，突破等级瓶颈，同时恢复全部血量。"
		"DOTA_Tooltip_ability_yjxr_13_Lore"        		"来来，吃头牛。"
		"DOTA_Tooltip_ability_yjxr_13_goldcost"			"<font color='#FFFF00'>消耗金币 :</font>"
		"DOTA_Tooltip_ability_yjxr_13_level_max"		"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_yjxr_14"					"养精蓄锐"
		"DOTA_Tooltip_ability_yjxr_14_Description"		"提升兵卒★级，突破等级瓶颈，同时恢复全部血量。"
		"DOTA_Tooltip_ability_yjxr_14_Lore"        		"来来，吃头牛。"
		"DOTA_Tooltip_ability_yjxr_14_goldcost"			"<font color='#FFFF00'>消耗金币 :</font>"
		"DOTA_Tooltip_ability_yjxr_14_level_max"		"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_yjxr_15"					"养精蓄锐"
		"DOTA_Tooltip_ability_yjxr_15_Description"		"提升兵卒★级，突破等级瓶颈，同时恢复全部血量。"
		"DOTA_Tooltip_ability_yjxr_15_Lore"        		"来来，吃头牛。"
		"DOTA_Tooltip_ability_yjxr_15_goldcost"			"<font color='#FFFF00'>消耗金币 :</font>"
		"DOTA_Tooltip_ability_yjxr_15_level_max"		"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_yjxr_16"					"养精蓄锐"
		"DOTA_Tooltip_ability_yjxr_16_Description"		"提升兵卒★级，突破等级瓶颈，同时恢复全部血量。"
		"DOTA_Tooltip_ability_yjxr_16_Lore"        		"来来，吃头牛。"
		"DOTA_Tooltip_ability_yjxr_16_goldcost"			"<font color='#FFFF00'>消耗金币 :</font>"
		"DOTA_Tooltip_ability_yjxr_16_level_max"		"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_yjxr_17"					"养精蓄锐"
		"DOTA_Tooltip_ability_yjxr_17_Description"		"提升兵卒★级，突破等级瓶颈，同时恢复全部血量。"
		"DOTA_Tooltip_ability_yjxr_17_Lore"        		"来来，吃头牛。"
		"DOTA_Tooltip_ability_yjxr_17_goldcost"			"<font color='#FFFF00'>消耗金币 :</font>"
		"DOTA_Tooltip_ability_yjxr_17_level_max"		"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_yjxr_18"					"养精蓄锐"
		"DOTA_Tooltip_ability_yjxr_18_Description"		"提升兵卒★级，突破等级瓶颈，同时恢复全部血量。"
		"DOTA_Tooltip_ability_yjxr_18_Lore"        		"来来，吃头牛。"
		"DOTA_Tooltip_ability_yjxr_18_goldcost"			"<font color='#FFFF00'>消耗金币 :</font>"
		"DOTA_Tooltip_ability_yjxr_18_level_max"		"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_yjxr_19"					"养精蓄锐"
		"DOTA_Tooltip_ability_yjxr_19_Description"		"提升兵卒★级，突破等级瓶颈，同时恢复全部血量。"
		"DOTA_Tooltip_ability_yjxr_19_Lore"        		"来来，吃头牛。"
		"DOTA_Tooltip_ability_yjxr_19_goldcost"			"<font color='#FFFF00'>消耗金币 :</font>"
		"DOTA_Tooltip_ability_yjxr_19_level_max"		"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_xj_12"					"解甲归田"
		"DOTA_Tooltip_ability_xj_12_level_max"			"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_xj_12_Description"		"降低兵卒★级，返还一半金币。"
		"DOTA_Tooltip_ability_xj_12_Lore"        		""
		"DOTA_Tooltip_ability_xj_12_goldcost"			"<font color='#FFFF00'>返还金币 :</font>"
		"DOTA_Tooltip_ability_xj_13"					"解甲归田"
		"DOTA_Tooltip_ability_xj_13_level_max"			"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_xj_13_Description"		"降低兵卒★级，返还一半金币。"
		"DOTA_Tooltip_ability_xj_13_Lore"        		""
		"DOTA_Tooltip_ability_xj_13_goldcost"			"<font color='#FFFF00'>返还金币 :</font>"
		"DOTA_Tooltip_ability_xj_14"					"解甲归田"
		"DOTA_Tooltip_ability_xj_14_level_max"			"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_xj_14_Description"		"降低兵卒★级，返还一半金币。"
		"DOTA_Tooltip_ability_xj_14_Lore"        		""
		"DOTA_Tooltip_ability_xj_14_goldcost"			"<font color='#FFFF00'>返还金币 :</font>"
		"DOTA_Tooltip_ability_xj_15"					"解甲归田"
		"DOTA_Tooltip_ability_xj_15_level_max"			"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_xj_15_Description"		"降低兵卒★级，返还一半金币。"
		"DOTA_Tooltip_ability_xj_15_Lore"        		""
		"DOTA_Tooltip_ability_xj_15_goldcost"			"<font color='#FFFF00'>返还金币 :</font>"
		"DOTA_Tooltip_ability_xj_16"					"解甲归田"
		"DOTA_Tooltip_ability_xj_16_level_max"			"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_xj_16_Description"		"降低兵卒★级，返还一半金币。"
		"DOTA_Tooltip_ability_xj_16_Lore"        		""
		"DOTA_Tooltip_ability_xj_16_goldcost"			"<font color='#FFFF00'>返还金币 :</font>"
		"DOTA_Tooltip_ability_xj_17"					"解甲归田"
		"DOTA_Tooltip_ability_xj_17_level_max"			"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_xj_17_Description"		"降低兵卒★级，返还一半金币。"
		"DOTA_Tooltip_ability_xj_17_Lore"        		""
		"DOTA_Tooltip_ability_xj_17_goldcost"			"<font color='#FFFF00'>返还金币 :</font>"
		"DOTA_Tooltip_ability_xj_18"					"解甲归田"
		"DOTA_Tooltip_ability_xj_18_level_max"			"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_xj_18_Description"		"降低兵卒★级，返还一半金币。"
		"DOTA_Tooltip_ability_xj_18_Lore"        		""
		"DOTA_Tooltip_ability_xj_18_goldcost"			"<font color='#FFFF00'>返还金币 :</font>"
		"DOTA_Tooltip_ability_xj_19"					"解甲归田"
		"DOTA_Tooltip_ability_xj_19_level_max"			"<font color='#FF0000'>封顶等级 :</font>"
		"DOTA_Tooltip_ability_xj_19_Description"		"降低兵卒★级，返还一半金币。"
		"DOTA_Tooltip_ability_xj_19_Lore"        		""
		"DOTA_Tooltip_ability_xj_19_goldcost"			"<font color='#FFFF00'>返还金币 :</font>"
		"DOTA_Tooltip_ability_yjxr_max"					"养精蓄锐"
		"DOTA_Tooltip_ability_yjxr_max_Description"		"顶级兵卒"
		"DOTA_Tooltip_ability_yjxr_max_Lore"        	"我感觉人生已经到达了巅峰!!!"
		"DOTA_Tooltip_ability_yjxr_max_level_max"		"<font color='#FF0000'>封顶等级 :</font>"


		"DOTA_Tooltip_Modifier_rune_0"						"双倍伤害"
        "DOTA_Tooltip_Modifier_rune_0_Description"			"基础攻击翻倍。持续到下个自身回合结束。"
		"DOTA_Tooltip_Modifier_rune_1"						"极速"
        "DOTA_Tooltip_Modifier_rune_1_Description"			"体会移动速度的极致。持续到下个自身回合结束。"
		"DOTA_Tooltip_Modifier_rune_2"						"幻象"
		"DOTA_Tooltip_Modifier_rune_2_Description"			"假幻切真的纠缠。<br>被攻击50%概率被幻象承受。<br>攻击有50%概率以幻象发起。<br>持续到下个自身回合结束。"
		"DOTA_Tooltip_Modifier_rune_3"						"隐形"
		"DOTA_Tooltip_Modifier_rune_3_Description"			"隐身的英雄无法被攻击。持续到下个自身回合结束。<br>攻击或者施法后结束隐身"
		"DOTA_Tooltip_Modifier_rune_4"						"恢复"
		"DOTA_Tooltip_Modifier_rune_4_Description"			"恢复英雄和兵卒全部的生命和魔法。"
		"DOTA_Tooltip_Modifier_rune_5"						"赏金"
		"DOTA_Tooltip_Modifier_rune_5_Description"			"拾取500金币"
		"DOTA_Tooltip_Modifier_rune_6"						"奥术"
        "DOTA_Tooltip_Modifier_rune_6_Description"			"释放技能冷却时间 -1 。<br>全部技能和卡牌魔法消耗 -1 。<br>持续到下个自身回合结束。<br>（冷却最低为1）"

		"DOTA_Tooltip_Modifier_prison"						"地狱"
        "DOTA_Tooltip_Modifier_prison_Description"			"Roll至同点方可重生。"

		"DOTA_Tooltip_ability_LuaAbility_phantom_strike"				"幻影突袭"
		"DOTA_Tooltip_ability_LuaAbility_phantom_strike_Description"	"闪烁到前方最近的英雄身边，并造成一次打击，必定暴击。"
		"DOTA_Tooltip_ability_LuaAbility_phantom_strike_Lore"			"茉崔蒂的真正面纱是她倒霉的目标临终所见之物。"

		"DOTA_Tooltip_ability_LuaAbility_meepo_poof"				"忽悠"
		"DOTA_Tooltip_ability_LuaAbility_meepo_poof_Description"	"通过从大地中汲取神秘的能量，一个米波可以在施法1.5秒后传送至另一个米波或自身所在之处，在离开和到达的区域都造成伤害。"
		"DOTA_Tooltip_ability_LuaAbility_meepo_poof_Lore"			"有时候打碎一块影墟水晶可以作为自己摆脱陷阱的方法，或者是另外一个自己。"
		"DOTA_Tooltip_ability_LuaAbility_meepo_poof_range"			"作用格数 :"
		"DOTA_Tooltip_ability_LuaAbility_meepo_poof_poof_damage"	"忽悠伤害 :"
		"LuaAbilityError_meepo_poof_1"								"目标不是米波"
		"LuaAbilityError_meepo_poof_2"								"目标只是个幻象"
		"DOTA_Tooltip_ability_meepo_ransack_Description"			"每次攻击从敌人身体汲取神秘的能量，以永久提升忽悠伤害"
		"DOTA_Tooltip_ability_meepo_ransack_addsh"					"伤害提升 :"
		"DOTA_Tooltip_Modifier_meepo_ransack"						"洗劫"
        "DOTA_Tooltip_Modifier_meepo_ransack_Description"			"伤害提升"

		"DOTA_Tooltip_ability_LuaAbility_pudge_meat_hook"				"肉钩"
		"DOTA_Tooltip_ability_LuaAbility_pudge_meat_hook_Description"	"向英雄射出血腥的肉钩，并将它拖到帕吉的身边。"
		"DOTA_Tooltip_ability_LuaAbility_pudge_meat_hook_Lore"			"屠夫的肉钩是噩梦的象征，锋利的倒钩暗示了他嗜血的本性。"
		"DOTA_Tooltip_ability_LuaAbility_pudge_meat_hook_damage"		"伤害 :"
		"DOTA_Tooltip_ability_LuaAbility_pudge_rot"						"腐烂"
		"DOTA_Tooltip_ability_LuaAbility_pudge_rot_Description"			"<font color='#4169E1'>开启/关闭</font> 持续性的毒性云雾，移动阶段伤害经过的英雄，并使其移速减缓。\n移动期间产生过伤害，消耗 <font color='#1E90FF'>■</font> <font color='#FFFFFF'><b>1</b></font>。"
		"DOTA_Tooltip_ability_LuaAbility_pudge_rot_Lore"				"从屠夫腐烂肿胀的肉体中放出的有毒气体，气体恶心的令人窒息。"
		"DOTA_Tooltip_ability_LuaAbility_pudge_rot_range"				"作用范围 :"
		"DOTA_Tooltip_ability_LuaAbility_pudge_rot_damage"				"伤害 :"
		"DOTA_Tooltip_ability_LuaAbility_pudge_rot_rot_slow"			"%减速 :"
		"DOTA_Tooltip_ability_LuaAbility_BZ_pudge_rot"					"腐烂"
		"DOTA_Tooltip_ability_LuaAbility_BZ_pudge_rot_Description"		"<font color='#00FF00'>自动</font> 魔法至100%时，对经过的英雄造成持续伤害的毒性云雾，并使其移速减缓。"
		"DOTA_Tooltip_ability_LuaAbility_BZ_pudge_rot_Lore"				"从屠夫腐烂肿胀的肉体中放出的有毒气体，气体恶心的令人窒息。"
		"DOTA_Tooltip_ability_LuaAbility_BZ_pudge_rot_range"			"作用范围 :"
		"DOTA_Tooltip_ability_LuaAbility_BZ_pudge_rot_damage"			"伤害 :"
		"DOTA_Tooltip_ability_LuaAbility_BZ_pudge_rot_rot_slow"			"%减速 :"
		"DOTA_Tooltip_modifier_LuaAbility_pudge_rot_debuff"				"腐烂"
		"DOTA_Tooltip_modifier_LuaAbility_pudge_rot_debuff_Description"	"被腐烂减速<font color='#FF0000'>%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%</font>"
		"DOTA_Tooltip_modifier_LuaAbility_BZ_pudge_rot_debuff"				"腐烂"
		"DOTA_Tooltip_modifier_LuaAbility_BZ_pudge_rot_debuff_Description"	"被腐烂减速<font color='#FF0000'>%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%</font>"

		"DOTA_Tooltip_ability_LuaAbility_BZ_lina_dragon_slave"					"龙破斩"
		"DOTA_Tooltip_ability_LuaAbility_BZ_lina_dragon_slave_Description"		"<font color='#00FF00'>自动</font> 莉娜引导龙的吐息，放出一波火焰，烧焦经过的敌人。"
		"DOTA_Tooltip_ability_LuaAbility_BZ_lina_dragon_slave_Lore"				"在纷争之国的荒焦之地，为了娱乐，莉娜学会了操控沙漠龙的火焰吐息。"
		"DOTA_Tooltip_ability_LuaAbility_BZ_lina_dragon_slave_dragon_slave_damage"			"伤害 :"
		"DOTA_Tooltip_ability_LuaAbility_lina_dragon_slave"					"龙破斩"
		"DOTA_Tooltip_ability_LuaAbility_lina_dragon_slave_Description"		"莉娜引导龙的吐息，放出一波火焰，烧焦前方全部敌人。"
		"DOTA_Tooltip_ability_LuaAbility_lina_dragon_slave_Lore"			"在纷争之国的荒焦之地，为了娱乐，莉娜学会了操控沙漠龙的火焰吐息。"
		"DOTA_Tooltip_ability_LuaAbility_lina_dragon_slave_dragon_slave_damage"			"伤害 :"
		// "DOTA_Tooltip_ability_LuaAbility_lina_dragon_slave_range"			"范围格数 :"
		"DOTA_Tooltip_ability_LuaAbility_lina_light_strike_array"					"光击阵"
		"DOTA_Tooltip_ability_LuaAbility_lina_light_strike_array_Description"		"召唤柱状火焰伤害并眩晕敌人。目标地为中心的%range%格范围。"
		"DOTA_Tooltip_ability_LuaAbility_lina_light_strike_array_Lore"			"莉娜的精华让她能够集中太阳的能量，随时让空气燃烧。"
		"DOTA_Tooltip_ability_LuaAbility_lina_light_strike_array_light_strike_array_damage"			"伤害 :"
		"DOTA_Tooltip_ability_LuaAbility_lina_light_strike_array_range"			"范围格数 :"
		"DOTA_Tooltip_ability_LuaAbility_lina_light_strike_array_light_strike_array_stun_duration"	"眩晕回合 :"
		"DOTA_Tooltip_Modifier_luaAbility_lina_light_strike_array"						"光击阵"
        "DOTA_Tooltip_Modifier_luaAbility_lina_light_strike_array_Description"			"眩晕 <font color='#FF0000'>%dMODIFIER_PROPERTY_BONUS_DAY_VISION%</font> 回合 ：跳过自身回合无法操作。兵卒眩晕无法攻击，无法触发攻城。"

		"DOTA_Tooltip_ability_LuaAbility_zuus_arc_lightning"					"弧形闪电"
		"DOTA_Tooltip_ability_LuaAbility_zuus_arc_lightning_Description"		"释放一道会跳跃穿越附近敌人的闪电。每次在目标<font color='#FFFFFF'> 5 </font>格范围跳跃。"
		"DOTA_Tooltip_ability_LuaAbility_zuus_arc_lightning_Lore"				"弧形闪电是宙斯在对付渺小的凡人时最喜欢用的法术。"
		"DOTA_Tooltip_ability_LuaAbility_zuus_arc_lightning_arc_damage"			"伤害 :"
		"DOTA_Tooltip_ability_LuaAbility_zuus_arc_lightning_jump_count"			"跳跃次数 :"
		"DOTA_Tooltip_ability_LuaAbility_zuus_lightning_bolt"					"雷击"
		"DOTA_Tooltip_ability_LuaAbility_zuus_lightning_bolt_Description"		"召唤一道闪电打击一个敌方英雄。"
		"DOTA_Tooltip_ability_LuaAbility_zuus_lightning_bolt_Lore"				"对那些反叛的异教徒最震慑的天罚。"
		"DOTA_Tooltip_ability_LuaAbility_zuus_lightning_bolt_damage"		"伤害 :"
		"DOTA_Tooltip_ability_LuaAbility_BZ_zuus_lightning_bolt"					"雷击"
		"DOTA_Tooltip_ability_LuaAbility_BZ_zuus_lightning_bolt_Description"		"<font color='#00FF00'>自动</font> 召唤一道闪电打击经过的敌人。"
		"DOTA_Tooltip_ability_LuaAbility_BZ_zuus_lightning_bolt_Lore"				"对那些反叛的异教徒最震慑的天罚。"
		"DOTA_Tooltip_ability_LuaAbility_BZ_zuus_lightning_bolt_damage"				"伤害 :"

		"DOTA_Tooltip_ability_LuaAbility_axe_battle_hunger"					"战斗畏惧"
		"DOTA_Tooltip_ability_LuaAbility_axe_battle_hunger_Description"		"恐吓一个敌方单位，降低他的攻击力，并且在其自身回合开始受到伤害。"
		"DOTA_Tooltip_ability_LuaAbility_axe_battle_hunger_Lore"				"通常英雄无法抵挡蒙哥可汗的战斗狂怒，他们会一直畏惧，直到蒙哥可汗的狂怒平息。"
		"DOTA_Tooltip_ability_LuaAbility_axe_battle_hunger_duration"				"持续回合 :"
		"DOTA_Tooltip_ability_LuaAbility_axe_battle_hunger_bonus_atk"				"%攻击力降低 :"
		"DOTA_Tooltip_ability_LuaAbility_axe_battle_hunger_damage"					"每回合伤害 "
		"DOTA_Tooltip_Modifier_luaAbility_axe_battle_hunger"						"战斗畏惧"
        "DOTA_Tooltip_Modifier_luaAbility_axe_battle_hunger_Description"			"持续 <font color='#FF0000'>%dMODIFIER_PROPERTY_BONUS_NIGHT_VISION%</font> 回合：降低 <font color='#FF0000'>%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%</font> 的攻击力，回合开始时受到 <font color='#FF0000'>%dMODIFIER_PROPERTY_BONUS_DAY_VISION%</font> 点魔法伤害，"

		"DOTA_Tooltip_ability_axe_counter_helix"					"反击螺旋"
		"DOTA_Tooltip_ability_axe_counter_helix_Description"		"受到攻击时，斧王有0.15/0.20/0.25几率做出螺旋反击，对半径300范围内的所有敌方单位造成140点纯粹伤害。(请忽视下面的技能数值)"
		"DOTA_Tooltip_ability_axe_counter_helix_Lore"				"我买了个小风车~呼呼呼"
		"DOTA_Tooltip_ability_axe_counter_helix_chance"				"触发概率 :"
		"DOTA_Tooltip_ability_axe_counter_helix_radius"					"半径 :"
		"DOTA_Tooltip_ability_axe_counter_helix_damage2"					"伤害 :"

		"DOTA_Tooltip_ability_LuaAbility_BZ_techies_land_mines"					"地雷"
		"DOTA_Tooltip_ability_LuaAbility_BZ_techies_land_mines_Description"		"<font color='#00FF00'>自动</font> 埋布地雷在自身区域内，敌人驻足该区域将引爆，对该区域的英雄和兵卒造成伤害。"
		"DOTA_Tooltip_ability_LuaAbility_BZ_techies_land_mines_Lore"				"起重港的噩梦！"
		"DOTA_Tooltip_ability_LuaAbility_BZ_techies_land_mines_damage"				"伤害 :"
		"DOTA_Tooltip_ability_LuaAbility_techies_land_mines"					"地雷"
		"DOTA_Tooltip_ability_LuaAbility_techies_land_mines_Description"		"埋布地雷在自身范围3格区域内，敌人驻足该区域将引爆，对该区域的英雄和兵卒造成伤害。"
		"DOTA_Tooltip_ability_LuaAbility_techies_land_mines_Lore"				"起重港的噩梦！"
		"DOTA_Tooltip_ability_LuaAbility_techies_land_mines_damage"				"伤害 :"
		"DOTA_Tooltip_ability_LuaAbility_techies_minefield_sign"				"感应标识"
		"DOTA_Tooltip_ability_LuaAbility_techies_minefield_sign_Description"	"布置一个感应装置在地雷区域，敌人经过有概率引爆该区域全部地雷。"
		"DOTA_Tooltip_ability_LuaAbility_techies_minefield_sign_Lore"			"别四处乱跑！"
		"DOTA_Tooltip_ability_LuaAbility_techies_minefield_sign_chance"			"% 引爆概率 :"
		"DOTA_Tooltip_ability_LuaAbility_techies_minefield_sign_Note0"			"多个同区域感应标识概率非线性叠加。"

		"DOTA_Tooltip_ability_LuaAbility_bloodseeker_rupture"					"割裂"
		"DOTA_Tooltip_ability_LuaAbility_bloodseeker_rupture_Description"		"让一个敌方单位皮开肉绽，将根据移动格数受到当前生命比例伤害，并且恢血效果减半。"
		"DOTA_Tooltip_ability_LuaAbility_bloodseeker_rupture_Lore"				"当血魔猎杀你时，受伤就意味着死亡。"
		"DOTA_Tooltip_ability_LuaAbility_bloodseeker_rupture_duration"			"持续回合 :"
		"DOTA_Tooltip_ability_LuaAbility_bloodseeker_rupture_damage"			"% 损失当前生命 :"
